site,stars,lat,long,zip,ratings
7 Stars Pizzeria,2.5,40.7415085,-74.0317307,7030,10
99 Cent Fresh Pizza,3.5,40.7517,-73.97432,10017,10
Abitino's Pizzeria,2.5,40.74813886,-73.97361875,10016,10
Angelo's Pizza,3.5,40.76381699,-73.98274209,10019,10
Bravo Kosher Downtown,2,40.7068655,-74.0135997,10006,10
Cafe Amore's,2.5,40.7159,-74.0098,10007,10
Da Vinci Pizza,3,40.7037506,-74.0097275,10041,10
Daddy Greens,4,40.68076,-73.92889,11233,10
Domino's Pizza,2.5,40.7882385,-73.9711075,10024,10
Domino's Pizza,2,40.7998142,-74.0078952,7047,10
Famous Fmiglia Pizzeria,1.5,40.7521896,-73.9934616,10123,10
Famous Original Ray's Pizza,2,40.7631751,-73.9815334,10019,10
Favia Pizza,2.5,40.71991,-74.0425099,7302,10
Garlic New York Pizza Bar,3.5,40.7451897,-73.9759369,10016,10
Giovanni,3,40.81942,-73.92714,10451,10
Joey's Pepperoni Pizza,3.5,40.7182503,-74.0031891,10013,10
Jojo's Pizza,4.5,40.6551208,-73.9161224,11212,10
Little Italy,3,40.8481407,-74.0265884,7660,10
Little Italy Pizza,3,40.75014,-73.9909799,10001,10
Love & Dough,3.5,40.70299421,-73.98745029,11201,10
Majesty Pizza & Grill,2,40.7216549,-73.9809494,10009,10
New Millenium Pizza,3.5,40.8241755,-73.9454584,10031,10
Patzeria Perfect Pizza,4,40.75946539,-73.98678571,10036,10
Regina's Pizza,4.5,40.74706,-73.98311,10016,10
Roma's Pizza,3.5,40.78036,-73.95327,10128,10
Rose & Joe's Italian Bakery,4,40.77521996,-73.91185284,11105,10
Sal's Little Italy,3.5,40.72050272,-73.99669114,10013,10
Salerno Pizza,3.5,40.767289,-73.922863,11102,10
SnAKS at Saks Fifth Avenue,3.5,40.75797,-73.97681,10022,10
Stadium Pizza,4,40.7072487,-74.1012726,7305,10
Two Grandpa's Pizza,4,40.8482018,-73.907608,10453,10
Annabel,4,40.765841,-73.987619,10019,11
Bella Italia Restaurant,4.5,40.7661781,-74.033699,7087,11
Don Antonio By Starita,4,40.762711,-73.986708,10019,11
Don Filippo Restaurant,3.5,40.77461,-73.95899,10021,11
Famous Famiglia Pizzeria,3,40.7523994,-73.9929123,10001,11
Gotham Pizza,3.5,40.76297047,-73.98559785,10019,11
Great Burrito,4,40.7428322,-73.9930115,10011,11
Milk 'N Honey NYC,3,40.7556156,-73.9803596,10036,11
Papa John's Pizza,3,40.7605214,-73.9074715,11377,11
Parkside,4,40.655949,-73.959599,11225,11
